Feature,Score
duration/previous,2030.7341099397888
duration/poutcome,2026.9972045037414
duration/pdays,2026.4019485903311
duration,1902.3475344115259
poutcome,472.15856975575855
previous,357.50209802551404
previous*poutcome,341.8279251770284
pdays,319.8567597184324
contact,312.4200416759368
pdays*poutcome,301.1230640358944
